,baseFare
4318,262.33
162492,124.65
199074,124.65
95100,273.49
141191,217.67
184350,171.16
145514,124.65
257934,143.26
112161,171.16
228548,217.67
189874,124.65
17336,226.98
205862,217.67
102652,226.98
7081,161.86
4762,143.26
11415,110.7
184741,124.65
1225,217.67
109909,310.7
33211,199.07
67861,226.97
221724,133.95
210622,171.16
153559,231.63
261693,338.6
58582,133.95
154119,315.35
136056,171.16
8551,82.79
8486,143.26
203102,133.95
282430,217.67
47437,129.31
138655,124.65
171569,124.65
156976,124.65
182209,217.67
3784,106.05
38566,152.55
34549,254.89
225014,133.95
61887,254.89
93090,189.77
4849,282.79
47358,152.56
139379,217.67
289359,264.19
277583,161.86
260024,124.65
238848,124.65
92381,273.49
155928,175.81
7812,375.81
232087,310.7
50882,226.98
261838,217.67
239418,217.67
265692,171.16
267790,143.26
4354,262.33
111231,199.07
97413,171.16
264975,217.67
229723,199.07
243428,347.91
26537,82.79
103296,217.68
98336,152.56
186903,171.16
197253,124.65
273996,338.6
253753,171.16
210443,171.16
244424,217.67
215894,115.35
136306,124.65
36262,292.09
101764,217.67
267415,217.67
170176,217.67
178347,124.65
82780,273.49
171509,87.44
263328,217.67
217051,217.67
179394,124.65
185731,152.56
220515,217.67
233237,124.65
2027,171.16
171157,87.44
168736,124.65
63638,254.89
200916,124.65
244769,171.16
54876,124.65
213270,310.7
281877,124.65
6667,217.67
91776,273.49
145943,152.56
56825,180.47
207411,310.7
15280,217.67
187607,124.65
255298,310.7
10805,166.51
203558,115.35
41515,292.09
94743,152.56
130023,217.67
64358,271.63
19313,180.47
127577,171.16
150493,171.16
166347,143.26
201985,310.7
112110,171.16
227321,171.16
136319,357.21
223785,310.7
155695,222.33
6104,199.07
276768,217.67
21322,236.28
139661,171.16
274051,217.67
143255,199.07
123057,217.67
232020,310.7
183535,189.77
171854,217.67
104253,180.47
27171,110.7
134417,199.07
250229,143.26
281177,310.7
50403,450.23
177734,124.65
183701,310.7
10504,217.67
130891,199.07
12034,366.51
226258,171.16
280134,366.51
194168,143.26
96603,124.65
17886,115.35
167798,92.09
104833,273.49
75046,271.63
247175,292.09
2882,282.79
94000,208.37
263893,124.65
120438,171.16
120334,124.65
69339,124.65
162128,92.09
86661,268.84
99710,226.98
182208,217.67
276490,310.7
107927,152.56
40469,157.21
224520,199.07
85006,152.56
249932,171.16
221561,133.95
124284,124.65
48491,152.56
216268,124.65
73622,124.65
219812,171.16
150765,199.07
54014,450.24
3558,143.26
186388,189.77
25467,133.95
150042,310.7
185290,199.07
248244,171.16
76111,217.67
3478,217.67
112963,217.67
163855,143.26
182444,199.07
284770,171.16
105206,152.56
187046,171.16
218629,310.7
141227,217.67
80042,271.63
125496,199.07
133108,143.26
176393,124.65
164291,124.65
215794,171.16
16912,282.79
149035,171.16
122594,87.44
147408,171.16
108169,310.7
23689,292.09
55936,226.98
59121,203.73
87559,124.65
82723,217.67
282969,199.07
286568,310.7
156177,222.33
172891,124.65
115702,217.67
70479,180.47
170512,180.47
212650,115.35
5547,82.79
4512,217.67
244352,310.7
93541,152.56
11688,262.33
204628,124.65
48402,213.03
281540,264.19
254216,171.16
286269,310.7
20041,87.44
201351,124.65
252042,124.65
145721,124.65
258283,217.67
51905,226.98
245759,124.65
44339,115.35
84969,180.47
250874,236.28
175522,264.19
121146,217.67
66701,226.98
175990,124.65
9846,161.86
58169,199.07
31843,171.16
263698,171.16
145886,87.44
271380,264.19
152180,217.67
184565,124.65
247028,143.26
181059,161.86
109565,124.65
284145,310.7
4660,106.05
62935,236.28
204781,199.07
85674,124.65
21989,292.09
22702,82.79
14696,338.6
244123,236.28
18633,180.47
110041,217.67
12377,161.86
4211,262.33
233335,199.07
121777,217.67
160805,217.67
8089,217.67
147657,87.44
113551,310.7
95918,347.91
13526,262.33
50246,152.56
90301,310.7
114168,171.16
208109,310.7
285375,310.7
234737,143.26
179945,180.47
62278,271.63
121609,199.07
234777,310.7
156977,129.3
62598,199.07
156344,129.3
66112,271.63
19665,115.35
53724,254.89
169611,143.26
47086,124.65
154995,157.21
199470,124.65
3341,143.26
182997,124.65
5059,78.14
153754,315.35
112187,171.16
163493,171.16
108052,217.67
73264,180.47
260812,310.7
54294,271.63
206076,171.16
176963,124.65
142414,124.65
160449,124.65
120266,217.67
280323,310.7
221378,171.16
123416,199.07
206198,171.16
23358,217.68
194256,115.35
13624,262.33
278960,366.51
101559,180.47
108581,171.16
266426,217.67
191158,199.07
241476,199.07
246193,310.7
230711,264.19
153756,315.35
30384,161.86
171260,87.44
